Index,soc5_title,title_name,normalized,
0,Chief Executives,Executive Directors,Executive Director,
1,Chief Executives,Chief Executive Officers,Chief Executive Officer,
2,Chief Executives,Chief Operating Officers,Chief Operating Officer,
3,Chief Executives,Franchise Owners,Store Owner,
4,Chief Executives,Sustainability Managers,Environmental Manager,
5,Chief Executives,Presidents,President,
6,Chief Executives,Agency Owners,Agency Owner,
7,Chief Executives,City Managers,Head Of Managers,
8,Chief Executives,Presidents/Chief Executive Officers,not available,
9,Chief Executives,Sustainability Program Managers,Environmental Manager,
10,Chief Executives,Town Managers,not available,
11,Chief Executives,Executive Officers,Executive Officer,
12,Chief Executives,County Executive Directors,Executive Director,
13,Chief Executives,City Administrators,Service Administrator,
14,Chief Executives,Assistant Town Managers,not available,
15,Chief Executives,Directors of the Office,Business Office Director,
16,Chief Executives,Deputy Executive Directors,Deputy Director,
17,Chief Executives,Economic Development Directors,Development Director,
18,Chief Executives,Energy and Sustainability Managers,Energy Manager,
19,Chief Executives,Public Works Managers,Works Manager,
20,Chief Executives,Treasury Management Officers,Treasury Manager,
21,Chief Executives,Principal Project Managers,Principal,
22,Chief Executives,Hospitalists,Hospitalist,
23,Chief Executives,Strategic Advisors,not available,
24,Chief Executives,Uniformed Security Officers,Security Officer,
25,General and Operations Managers,Operations Managers,Operations Manager,
26,General and Operations Managers,General Managers,General Manager,
27,General and Operations Managers,Operations Supervisors,Operations Manager,
28,General and Operations Managers,Assistant Operations Managers,Operations Manager,
29,General and Operations Managers,Managers-in-Training,Manager In Training,
30,General and Operations Managers,Directors of Operations,Director Of Operations,
31,General and Operations Managers,Assistant General Managers,General Manager,
32,General and Operations Managers,Product Owners,Product Owner,
33,General and Operations Managers,District Managers,District Manager,
34,General and Operations Managers,Operations Coordinators,Operations Coordinator,
35,General and Operations Managers,Area Managers,Area Manager,
36,General and Operations Managers,Vice Presidents of Operations,Director Of Operations,
37,General and Operations Managers,Business Managers,Business Manager,
38,General and Operations Managers,Chiefs of Staff,Chief Of Staff,
39,General and Operations Managers,Retail Operations Supervisors,Retail Manager,
40,General and Operations Managers,Regional Directors of Operations,Regional Director,
41,General and Operations Managers,Regional Operations Managers,Regional Manager,
42,General and Operations Managers,Principal Product Managers,Nand Product Manager,
43,General and Operations Managers,Operations Leads,Operations Lead,
44,General and Operations Managers,General Managers In Training,Manager In Training,
45,General and Operations Managers,Business Operations Managers,Business Operations Manager,
46,General and Operations Managers,Supply Chain Logistics Managers,Supply Chain Manager,
47,General and Operations Managers,Vice Presidents,Vice President,
48,General and Operations Managers,Field Operations Managers,Field Manager,
49,General and Operations Managers,Assistant Service Center Managers,Center Manager,
50,Advertising and Promotions Managers,Digital Marketing Coordinators,Digital Marketer,
51,Advertising and Promotions Managers,Advertising Managers,Advertising Manager,
52,Advertising and Promotions Managers,Campaign Managers,Campaign Manager,
53,Advertising and Promotions Managers,Promotions Directors,Promotions Director,
54,Advertising and Promotions Managers,Digital Advertising Managers,Advertising Manager,
55,Advertising and Promotions Managers,Campaign Planners,not available,
56,Advertising and Promotions Managers,Ad Operations Managers,Operations Manager,
57,Advertising and Promotions Managers,Advertising and Marketing Managers,Advertising Manager,
58,Advertising and Promotions Managers,Campaign Project Managers,Campaign Manager,
59,Advertising and Promotions Managers,Traffic Directors,not available,
60,Advertising and Promotions Managers,Directors of Advertising,Advertising Director,
61,Advertising and Promotions Managers,Advertising Operations Managers,Advertising Manager,
62,Advertising and Promotions Managers,Directors of Advertising and Promotions,Promotions Director,
63,Advertising and Promotions Managers,Coalition Coordinators,not available,
64,Advertising and Promotions Managers,Digital Advertising Directors,Advertising Director,
65,Advertising and Promotions Managers,Advertising Creative Directors,Advertising Director,
66,Advertising and Promotions Managers,Healthcare Managers,Healthcare Manager,
67,Advertising and Promotions Managers,Advertising Directors,Advertising Director,
68,Advertising and Promotions Managers,Marketing Coordinators/Sales Assistants,not available,
69,Advertising and Promotions Managers,Advertising Campaign Managers,Campaign Manager,
70,Advertising and Promotions Managers,World Directors,Managing Director,
71,Advertising and Promotions Managers,Advertising Compliance Analysts,Compliance Officer,
72,Advertising and Promotions Managers,Directors of Marketing and Advertising,Advertising Director,
73,Advertising and Promotions Managers,Advertising Account Managers,Advertising Manager,
74,Advertising and Promotions Managers,Success Partners,Customer Success Specialist,
75,Marketing Managers,Product Managers,Product Manager,
76,Marketing Managers,Marketing Managers,Marketing Manager,
77,Marketing Managers,Marketing Product Managers,Product Marketing Manager,
78,Marketing Managers,Digital Marketing Managers,Digital Marketer,
79,Marketing Managers,Directors of Marketing,Director Of Marketing,
80,Marketing Managers,Directors of Product Management,Director Of Product Management,
81,Marketing Managers,Digital Product Managers,Nand Product Manager,
82,Marketing Managers,Technical Product Managers,Technical Product Manager,
83,Marketing Managers,Category Managers,Category Manager,
84,Marketing Managers,Marketing Directors,Director Of Marketing,
85,Marketing Managers,Associate Product Managers,Nand Product Manager,
86,Marketing Managers,Field Marketing Managers,Field Marketer,
87,Marketing Managers,Platform Product Managers,Platform Manager,
88,Marketing Managers,Vice Presidents of Marketing,Vice President Of Marketing,
89,Marketing Managers,Growth Marketing Managers,Marketing Manager,
90,Marketing Managers,Directors of Product Marketing,Director Of Product Management,
91,Marketing Managers,Lead Product Managers,Product Manager,
92,Marketing Managers,Marketing Project Managers,Marketing Project Manager,
93,Marketing Managers,Marketing Operations Managers,Operations Manager,
94,Marketing Managers,Market Managers,Market Manager,
95,Marketing Managers,Global Marketing Directors,Director Of Marketing,
96,Marketing Managers,Market Development Managers,Market Manager,
97,Marketing Managers,Email Marketing Managers,Marketing Manager,
98,Marketing Managers,Content Marketing Managers,Content Marketer,
99,Marketing Managers,Digital Marketing Directors,Digital Marketer,
100,Sales Managers,Sales Managers,Sales Manager,
101,Sales Managers,Business Development Managers,Business Development Manager,
102,Sales Managers,Territory Managers,Territory Manager,
103,Sales Managers,Regional Sales Managers,Regional Sales Manager,
104,Sales Managers,Territory Sales Managers,Territory Sales Manager,
105,Sales Managers,Directors of Sales,Sales Director,
106,Sales Managers,Area Sales Managers,Regional Sales Manager,
107,Sales Managers,District Sales Managers,District Manager,
108,Sales Managers,Business Development Executives,Business Development Executive,
109,Sales Managers,Regional Managers,Regional Manager,
110,Sales Managers,Vice Presidents of Sales,Vice President Of Sales,
111,Sales Managers,District Managers,District Manager,
112,Sales Managers,Development Managers,Development Manager,
113,Sales Managers,Learning and Development Managers,Learning And Development Manager,
114,Sales Managers,Regional Sales Directors,Regional Sales Director,
115,Sales Managers,National Account Managers,Account Manager,
116,Sales Managers,Assistant Sales Managers,Sales Manager,
117,Sales Managers,Group Sales Managers,Group Manager,
118,Sales Managers,Territory Business Managers,Territory Manager,
119,Sales Managers,Sales Operations Managers,Sales Operations Manager,
120,Sales Managers,Business Development Engineers,Business Development Manager,
121,Sales Managers,Account Sales Managers,Account Manager,
122,Sales Managers,Sales Enablement Managers,Sales Manager,
123,Sales Managers,Business Development Officers,Business Development Officer,
124,Sales Managers,National Sales Managers,Sales Manager,
125,Public Relations and Fundraising Managers,Directors of Development,Development Director,
126,Public Relations and Fundraising Managers,Communications Managers,Communications Manager,
127,Public Relations and Fundraising Managers,Outreach Coordinators,Outreach Coordinator,
128,Public Relations and Fundraising Managers,Directors of Communications,Director Of Communications,
129,Public Relations and Fundraising Managers,Community Outreach Coordinators,Outreach Coordinator,
130,Public Relations and Fundraising Managers,Major Gifts Officers,Medical Officer,
131,Public Relations and Fundraising Managers,Public Relations Managers,Public Relations Manager,
132,Public Relations and Fundraising Managers,Community Managers,Community Manager,
133,Public Relations and Fundraising Managers,Grants Managers,Grants Manager,
134,Public Relations and Fundraising Managers,Marketing and Communications Managers,Marketing Communications Manager,
135,Public Relations and Fundraising Managers,Communications Directors,Director Of Communications,
136,Public Relations and Fundraising Managers,Internal Communications Managers,Communications Manager,
137,Public Relations and Fundraising Managers,Directors of Marketing and Communications,Director Of Communications,
138,Public Relations and Fundraising Managers,Associate Directors of Development,Development Director,
139,Public Relations and Fundraising Managers,Marketing Communications Managers,Marketing Communications Manager,
140,Public Relations and Fundraising Managers,Campaign Managers,Campaign Manager,
141,Public Relations and Fundraising Managers,Development Officers,Business Development Officer,
142,Public Relations and Fundraising Managers,Directors of Philanthropy,Managing Director,
143,Public Relations and Fundraising Managers,Grants Administrators,Grants Manager,
